"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsu… https://t.co/VuhN5ugvtn",FALSE,359321,NA,2020-03-23 14:41:49,TRUE,NA,"1242099236231053314",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",62130,FALSE,FALSE,NA,NA
"30","Sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the impo… https://t.co/u5B0tcSfLU",FALSE,98390,"BarackObama",2020-03-21 13:24:06,TRUE,"1241354900677832709","1241354902875619329","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",15134,FALSE,FALSE,NA,NA
"31","And @cripchick, a disabled activist, understands what it’s like for people with particular vulnerabilities to come… https://t.co/Sk5TBOTnkH",FALSE,44095,"BarackObama",2020-03-21 13:24:06,TRUE,"1241354898299633664","1241354900677832709","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5715,FALSE,FALSE,NA,NA
"32",".@sullydish witnessed the impact of HIV-AIDS on the LGBT community in the early stages of that devastating disease: https://t.co/j0ipIrzoDC",FALSE,31720,"BarackObama",2020-03-21 13:24:05,FALSE,"1241354895829106688","1241354898299633664","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5426,FALSE,FALSE,NA,NA
"33","Here are a few stories that have less to do with the very real medical or economic aspects of this crisis, and more… https://t.co/Oh038qeLhJ",FALSE,234005,NA,2020-03-21 13:24:05,TRUE,NA,"1241354895829106688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",37253,FALSE,FALSE,NA,NA
"34","The best part of my job was meeting people like this—ready to make a selfless act in a time of need. Many Americans… https://t.co/d6c56VtEjk",FALSE,22853,"BarackObama",2020-03-19 15:25:09,TRUE,"1240660587677450244","1240660590600892417","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",4134,FALSE,FALSE,NA,NA
"35",".@rgay and @SheaSerrano are using their feeds to directly support people in need—and helping shift our ideas about… https://t.co/f5wO07YeTN",FALSE,43015,"BarackObama",2020-03-19 15:25:09,TRUE,"1240660584800161793","1240660587677450244","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6467,FALSE,FALSE,NA,NA
"36","In my old neighborhood, the @BSAllianceChi established a crisis pantry to provide food and essential items for part… https://t.co/3S0XsrpkBb",FALSE,11212,"BarackObama",2020-03-19 15:25:08,TRUE,"1240660582090657799","1240660584800161793","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",1680,FALSE,FALSE,NA,NA
"37",".@ObamaFoundation Fellow @alexsmith1982 is helping seniors fight loneliness in the UK through a mix of new and old… https://t.co/XN42EoXeQv",FALSE,7544,"BarackObama",2020-03-19 15:25:07,TRUE,"1240660579200700419","1240660582090657799","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",1460,FALSE,FALSE,NA,NA
"38","Some great stories of big-hearted people coming up with new ways to come together—even while remaining apart—to hel… https://t.co/6zeZriuo6P",FALSE,79387,NA,2020-03-19 15:25:07,TRUE,NA,"1240660579200700419",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",15110,FALSE,FALSE,NA,NA
"39","In the meantime, remember to check up by phone on elderly or vulnerable friends and neighbors who may need our help.",FALSE,52547,"BarackObama",2020-03-18 14:57:45,FALSE,"1240291302811500549","1240291304573227009","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",7958,FALSE,FALSE,NA,NA
"40","As communities have begun to recognize the importance of social distancing measures to “flatten the curve” on COVID… https://t.co/wWe8N5YpwP",FALSE,111151,NA,2020-03-18 14:57:44,TRUE,NA,"1240291302811500549",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",26605,FALSE,FALSE,NA,NA
"41","We owe a profound debt of gratitude to all our health professionals and everybody who’ll be on the front lines of t… https://t.co/pLJkvANSdr",FALSE,527726,NA,2020-03-17 16:49:38,TRUE,NA,"1239957076211834881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",93809,FALSE,FALSE,NA,NA
"42","Not everybody can stay home, and we owe a big debt of gratitude to health professionals, transit and airport worker… https://t.co/SK1Rk7kkIu",FALSE,203740,"BarackObama",2020-03-15 19:09:21,TRUE,"1239267360739074048","1239267459028353024","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",40166,FALSE,FALSE,NA,NA
"43","Watch this. It shows why we should all do the right thing and stay home to the fullest extent possible. All of us c… https://t.co/GOODRTNI2e",FALSE,388485,NA,2020-03-15 19:08:57,TRUE,NA,"1239267360739074048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",126597,FALSE,FALSE,NA,NA
"44","A shout out to Kevin, Giannis, Zion, Blake, Steph and all the players, owners and organizations who are setting a g… https://t.co/csibmqnjrH",FALSE,320929,NA,2020-03-14 14:11:06,TRUE,NA,"1238830014432522240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",47525,FALSE,FALSE,NA,NA
"45","If you’re wondering whether it’s an overreaction to cancel large gatherings and public events (and I love basketbal… https://t.co/pdcJudIFXu",FALSE,581282,NA,2020-03-12 23:00:56,TRUE,NA,"1238238576141352966",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",167106,FALSE,FALSE,NA,NA
"46","In the midst of campaign season, it’s important to look squarely at what’s at stake. This article speaks to one of… https://t.co/Ij2hK9CKB1",FALSE,95694,NA,2020-03-10 20:50:11,TRUE,NA,"1237480895466127361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",20240,FALSE,FALSE,NA,NA
"47","RT @repjohnlewis: 55 years ago today, we were beaten, tear gassed, and trampled by horses. I thought I saw death. I thought I was going to…",FALSE,0,NA,2020-03-08 00:02:41,FALSE,NA,"1236442176525041665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",33113,TRUE,FALSE,NA,NA
"48","55 years ago, when a group of civil rights organizers crossed the Edmund Pettus Bridge, they carried America with t… https://t.co/tdaHo1FJIR",FALSE,244701,NA,2020-03-07 15:18:26,TRUE,NA,"1236310244508254208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",30212,FALSE,FALSE,NA,NA
"49","Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when… https://t.co/3J4CZwGJup",FALSE,614353,NA,2020-03-04 16:52:19,TRUE,NA,"1235246706817630208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",131459,FALSE,FALSE,NA,NA
"50","Michelle and I are sending our prayers to those affected by the severe storms in Tennessee, especially to those who… https://t.co/48jXyUeupn",FALSE,329913,NA,2020-03-03 21:34:30,TRUE,NA,"1234955335305175041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",28442,FALSE,FALSE,NA,NA
"51","America needs you as states prepare for the next round of redistricting. It's up to all of us to make sure we have… https://t.co/HghrAbSMGn",FALSE,24237,"BarackObama",2020-02-28 15:49:05,TRUE,"1233418687308234754","1233418854686216192","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",4998,FALSE,FALSE,NA,NA
"52","Shirley Chisholm said ""You don't make progress by standing on the sidelines, whimpering and complaining. You make p… https://t.co/AQqsZ3bmsw",FALSE,70383,NA,2020-02-28 15:48:25,TRUE,NA,"1233418687308234754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",13399,FALSE,FALSE,NA,NA
"53","RT @ObamaFoundation: The Obama Presidential Center will make Jackson Park a part of presidential history. In 1893, Frederick Douglass made…",FALSE,0,NA,2020-02-25 22:21:08,FALSE,NA,"1232430355023630344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",2250,TRUE,FALSE,NA,NA
"54","After a lifetime of reaching for the stars, today, Katherine Johnson landed among them. She spent decades as a hidd… https://t.co/Z2SzFvXmW7",FALSE,397620,NA,2020-02-24 21:57:19,TRUE,NA,"1232061971148746754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",44339,FALSE,FALSE,NA,NA
"55","Happy birthday to one of my heroes — someone who believed our right to vote was more important than his own life. T… https://t.co/hK0tnVcacQ",FALSE,334416,NA,2020-02-21 15:34:33,TRUE,NA,"1230878481543725056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",32833,FALSE,FALSE,NA,NA
"56","https://t.co/AQJsfBf0ri",FALSE,19020,"BarackObama",2020-02-19 00:51:40,FALSE,"1229931441624145920","1229931522758774787","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3251,FALSE,FALSE,NA,NA
"57","Here are a couple of articles that are worth reading — from housing to health, these stories use data to explore ch… https://t.co/KlSkp31mmi",FALSE,87393,NA,2020-02-19 00:51:21,TRUE,NA,"1229931441624145920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",15894,FALSE,FALSE,NA,NA
"58","Eleven years ago today, near the bottom of the worst recession in generations, I signed the Recovery Act, paving th… https://t.co/6IyeQfvElc",FALSE,787225,NA,2020-02-17 15:46:53,TRUE,NA,"1229432034650722304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",115573,FALSE,FALSE,NA,NA
